cluster_id	KSLabel
0	mua
1	good
2	good
3	mua
4	mua
5	good
6	mua
7	mua
8	mua
9	mua
10	mua
11	good
12	mua
13	mua
14	good
15	good
16	mua
17	mua
18	mua
19	mua
20	mua
21	good
22	good
23	mua
24	good
25	mua
26	mua
27	good
28	good
29	mua
30	mua
31	mua
32	mua
33	mua
34	mua
35	mua
36	mua
37	mua
38	mua
39	good
40	mua
41	mua
42	good
43	mua
44	good
45	mua
46	good
47	mua
48	mua
49	mua
50	mua
51	mua
52	mua
53	good
54	mua
55	mua
56	mua
57	good
58	mua
59	mua
60	mua
61	mua
62	mua
63	good
64	mua
65	good
66	mua
67	mua
68	good
69	mua
70	mua
71	mua
72	mua
73	mua
74	mua
75	mua
76	mua
77	good
78	mua
79	mua
80	good
81	mua
82	mua
83	good
84	good
85	good
86	mua
87	mua
88	mua
89	good
90	mua
91	mua
92	mua
93	good
94	mua
95	mua
96	mua
97	mua
98	mua
99	mua
100	mua
101	good
102	mua
103	mua
104	good
105	mua
106	good
107	mua
108	mua
109	mua
110	good
111	mua
112	mua
113	mua
114	mua
115	mua
116	mua
117	mua
118	mua
119	mua
120	mua
121	mua
122	mua
123	mua
124	mua
125	good
126	mua
127	good
128	mua
129	good
130	good
131	mua
132	good
133	mua
134	mua
135	good
136	mua
137	good
138	good
139	mua
140	mua
141	mua
142	mua
143	mua
144	mua
145	good
146	good
147	mua
148	mua
149	mua
150	mua
151	mua
152	good
153	good
154	good
155	good
156	mua
157	mua
158	mua
159	good
160	mua
161	mua
162	good
163	mua
164	mua
165	mua
166	mua
167	mua
168	good
169	mua
170	mua
171	mua
172	good
173	mua
174	mua
175	good
176	mua
177	mua
178	mua
179	good
180	mua
181	mua
182	mua
183	good
184	mua
185	mua
186	good
187	mua
188	mua
189	good
190	mua
191	mua
192	mua
193	good
194	good
195	mua
196	mua
197	mua
198	mua
199	mua
200	mua
201	mua
202	mua
203	mua
204	mua
205	good
206	mua
207	mua
208	mua
209	mua
210	mua
211	good
212	good
213	good
214	good
215	mua
216	mua
217	good
218	good
219	mua
220	good
221	mua
222	mua
223	good
224	mua
225	mua
226	good
227	mua
228	good
229	good
230	good
231	mua
232	mua
233	good
234	good
235	good
236	mua
237	mua
238	mua
239	mua
240	mua
241	good
242	good
243	mua
244	mua
245	mua
246	mua
247	good
248	mua
249	mua
250	mua
251	mua
252	mua
253	good
254	good
255	mua
256	mua
257	mua
258	mua
259	mua
260	mua
261	good
262	good
263	good
264	mua
265	mua
266	mua
267	mua
268	good
269	mua
270	good
271	mua
272	mua
273	mua
274	mua
275	good
276	mua
277	good
278	mua
279	mua
280	mua
281	mua
282	good
283	mua
284	mua
285	mua
286	good
287	good
288	mua
289	mua
290	mua
291	mua
292	mua
293	mua
294	mua
295	mua
296	mua
297	mua
298	good
299	mua
300	mua
301	mua
302	mua
303	mua
304	good
305	mua
306	mua
307	mua
308	good
309	mua
310	mua
311	mua
312	mua
313	good
314	good
315	good
316	mua
317	mua
318	mua
319	mua
320	good
321	good
322	mua
323	good
324	good
325	mua
326	good
327	mua
328	mua
329	good
330	good
331	mua
332	mua
333	good
334	mua
335	mua
336	mua
337	mua
338	mua
339	mua
340	mua
341	mua
342	good
343	mua
344	mua
345	mua
346	mua
347	mua
348	mua
349	mua
350	mua
351	mua
352	mua
353	mua
354	mua
355	mua
356	mua
357	mua
358	mua
359	good
360	mua
361	mua
362	mua
363	mua
364	mua
365	mua
366	mua
367	mua
368	mua
369	mua
370	mua
371	mua
372	mua
373	mua
374	mua
375	good
376	mua
377	good
378	mua
379	mua
380	mua
381	mua
382	mua
383	mua
384	mua
385	mua
386	mua
387	mua
388	mua
389	good
390	mua
391	mua
392	mua
393	good
394	good
395	mua
396	mua
397	good
398	mua
399	mua
400	mua
401	mua
402	good
403	mua
404	mua
405	mua
406	good
407	mua
408	mua
409	mua
410	mua
411	mua
412	good
413	mua
414	mua
415	mua
416	mua
417	mua
418	mua
419	mua
420	good
421	mua
422	mua
423	mua
424	mua
425	mua
426	mua
427	mua
428	mua
429	mua
430	mua
431	mua
432	mua
433	good
434	mua
435	mua
436	mua
437	mua
438	mua
439	mua
440	good
441	good
442	mua
443	mua
444	mua
445	mua
446	mua
447	mua
448	mua
449	mua
450	mua
451	mua
452	mua
453	mua
454	good
455	mua
456	mua
457	mua
458	mua
459	mua
460	good
461	mua
462	good
463	mua
464	mua
465	mua
466	mua
467	mua
468	mua
469	mua
470	mua
471	mua
472	mua
473	mua
474	mua
475	mua
476	good
477	mua
478	mua
479	mua
480	mua
481	mua
482	mua
483	mua
484	mua
485	mua
486	mua
487	mua
488	mua
489	mua
490	mua
491	mua
492	mua
493	mua
494	mua
495	good
496	mua
497	mua
498	mua
499	good
500	mua
501	mua
502	mua
503	mua
504	mua
505	mua
506	mua
507	mua
508	mua
509	mua
510	mua
511	mua
512	mua
513	mua
514	mua
515	mua
516	mua
517	mua
518	mua
519	mua
520	mua
521	mua
522	mua
523	mua
524	mua
525	mua
526	mua
527	mua
528	mua
529	mua
530	mua
531	mua
532	mua
533	mua
534	mua
535	mua
536	mua
537	mua
